Unnamed: 0,영업팀,영업그룹,파트,대표거래선,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,금액,,,,13511100.146,13511100.146,7656330.0,7656330.0,13511100.146
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,금액,25kg,,,90220968.251,90220968.251,111293849.70000002,111293849.7,90220968.251
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,금액,25kg,9시리즈,,,,14048328.8,14048328.8,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,금액,25kg,8시리즈,,63246768.606,63246768.606,71905010.1,71905010.1,63246768.606
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,금액,21-20kg,,,156985303.06899998,156985303.06899998,316061763.59999996,316061763.59999996,156985303.06899998
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,금액,19-18kg,,,56725265.793,56725265.793,27980745.1,27980745.1,56725265.793
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,금액,15kg↓,,,,,12990740.399999999,12990740.399999999,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,,,,16.0,16.0,24.0,24.0,16.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,25kg,,,214.0,214.0,102.0,102.0,214.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,25kg,9시리즈,,,,6.0,6.0,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,25kg,8시리즈,,,,26.0,26.0,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,24kg,,,,,2.0,2.0,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,21-20kg,,,239.0,239.0,316.0,316.0,239.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,19-18kg,,,,,61.0,61.0,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,수량,15kg↓,,,28.0,28.0,30.0,30.0,28.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,,,,4003288.9320000005,4003288.9320000005,9187596.0,9187596.0,4003288.9320000005
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,25kg,,,163278848.858,163278848.858,122252869.2,122252869.2,163278848.858
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,25kg,9시리즈,,,,21072493.2,21072493.2,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,25kg,8시리즈,,,,71905003.5,71905003.49999999,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,24kg,,,,,2260108.4,2260108.4,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,21-20kg,,,135953854.263,135953854.263,317056214.2,317056214.1999999,135953854.26299998
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,19-18kg,,,,,42330303.4,42330303.4,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y09WA,금액,15kg↓,,,14374139.886,14374139.886,23295059.700000003,23295059.700000003,14374139.886
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,수량,,,,58.0,58.0,42.0,42.0,58.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,수량,25kg,,,211.0,211.0,174.0,174.0,211.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,수량,25kg,9시리즈,,6.0,6.0,7.0,7.0,6.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,수량,25kg,8시리즈,,100.0,100.0,42.0,42.0,100.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,수량,21-20kg,,,369.0,369.0,246.0,246.0,369.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,수량,19-18kg,,,44.0,44.0,91.0,91.0,44.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,수량,15kg↓,,,25.0,25.0,43.0,43.0,25.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,금액,,,,18021718.036,18021718.036,16078293.0,16078293.0,18021718.036
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,금액,25kg,,,201457989.13799998,201457989.13799998,208858587.3,208858587.29999995,201457989.13799998
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,금액,25kg,9시리즈,,15344857.366,15344857.366,24584575.400000002,24584575.400000002,15344857.366
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,금액,25kg,8시리즈,,217445667.66,217445667.66,116154237.1,116154237.1,217445667.66
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,금액,21-20kg,,,252850412.40599996,252850412.40599996,246092487.3,246092487.3,252850412.40600002
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,금액,19-18kg,,,23261733.17,23261733.17,63513474.2,63513474.199999996,23261733.17
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y10W,금액,15kg↓,,,15936749.963000001,15936749.963000001,33608972.1,33608972.1,15936749.963000001
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,수량,,,,28.0,28.0,36.0,36.0,28.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,수량,25kg,,,74.0,74.0,190.0,190.0,74.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,수량,25kg,9시리즈,,8.0,8.0,3.0,3.0,8.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,수량,25kg,8시리즈,,50.0,50.0,28.0,28.0,50.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,수량,21-20kg,,,371.0,371.0,276.0,276.0,371.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,수량,19-18kg,,,11.0,11.0,58.0,58.0,11.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,수량,15kg↓,,,44.0,44.0,29.0,29.0,44.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,금액,,,,8700139.741,8700139.741,13781394.0,13781394.0,8700139.741
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,금액,25kg,,,70619741.266,70619741.266,228791764.3,228791764.29999995,70619741.266
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,금액,25kg,9시리즈,,20459809.822,20459809.822,10536246.600000001,10536246.600000001,20459809.822
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,금액,25kg,8시리즈,,108722834.695,108722834.695,77436165.4,77436165.4,108722834.695
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,금액,21-20kg,,,255956796.06499994,255956796.06499994,275973127.1,275973127.1000001,255956796.06499997
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,금액,19-18kg,,,5662375.675,5662375.675,40330551.8,40330551.800000004,5662375.675
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y11W,금액,15kg↓,,,28048676.612,28048676.612,22740842.300000004,22740842.3,28048676.612
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y12W,수량,,,,5.0,5.0,31.0,31.0,5.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y12W,수량,25kg,,,65.0,65.0,134.0,134.0,65.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y12W,수량,25kg,9시리즈,,6.0,6.0,12.0,12.0,6.0
,이커머스,SOP,가전,회산,세탁기,26Y03M,26Y12W,수량,25kg,8시리즈,,46.0,46.0,67.0,67.0,46.0
